sample	ind	time	condition
LU1	1	1	WT
LU2	2	1	WT
LU3	3	1	WT
LU4	4	1	depleted
LU5	5	1	depleted
LU6	6	1	depleted
LU7	7	5	WT
LU8	8	5	WT
LU9	9	5	WT
LU10	10	5	depleted
LU11	11	5	depleted
LU12	12	5	depleted
LU13	13	9	WT
LU14	14	9	WT
LU15	15	9	WT
LU16	16	9	depleted
LU17	17	9	depleted
LU18	18	9	depleted
LU19	19	13	WT
LU20	20	13	WT
LU21	21	13	WT
LU22	22	13	depleted
LU23	23	13	depleted
LU24	24	13	depleted
LU25	25	17	WT
LU26	26	17	WT
LU27	27	17	WT
LU28	28	17	depleted
LU29	29	17	depleted
LU30	30	17	depleted
LU31	31	21	WT
LU32	32	21	WT
LU33	33	21	WT
LU34	34	21	depleted
LU35	35	21	depleted
LU36	36	21	depleted
