""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"
"Nr1d1"	-3.78843659382943	5.49630503382067	-11.0701235714502	4.29103388940657e-10	4.64933521917202e-06	12.1324287762949	"DOWN"
"Klf11"	-0.701363346245048	5.17020006204346	-9.30689463435555	8.49802687311729e-09	4.60380605851129e-05	10.0541765886297	"DOWN"
"Cry1"	1.23197155628261	5.0813199013538	8.90949973145313	1.75258404193109e-08	6.32974936477444e-05	9.3575418180283	"UP"
"Pdcd4"	-0.441565717520376	5.2455638890832	-8.12340498996946	7.7865938854488e-08	0.000210919361872094	8.09483070448672	"DOWN"
"Rcn3"	-0.390318199956283	6.01401665776137	-7.36977289222975	3.51225175125526e-07	0.000649405443566569	6.75936351625623	"DOWN"
"Khdrbs1"	-0.28691445957721	6.61723580124519	-7.30726529223849	3.9933501239484e-07	0.000649405443566569	6.64262425611906	"DOWN"
"Pamr1"	-0.559023787065997	4.99637389854131	-7.28328659170539	4.1955127872321e-07	0.000649405443566569	6.52166341072914	"DOWN"
"Pcyt1a"	0.3081777534611	7.06942636609061	7.14031919772215	5.64102868910298e-07	0.000742625369040835	6.31491644793905	"UP"
"Rorc"	1.24299510755172	4.87645300192292	7.0486308712633	6.83033774657156e-07	0.000742625369040835	6.03931415669916	"UP"
"Cd34"	-0.330561283894336	7.43778029504369	-7.0469819138921	6.85394895284573e-07	0.000742625369040835	6.12679779796115	"DOWN"
"Secisbp2l"	0.344868194750236	7.72865292965008	6.99200309307268	7.69130051332439e-07	0.000754917155217709	6.01348818931287	"UP"
"Rac3"	-0.562628352164753	4.70707210020474	-6.95230798501139	8.36087296964698e-07	0.000754917155217709	5.85010495720275	"DOWN"
"Ccdc129"	-0.47541274118436	4.20638140516662	-6.7212795630183	1.36472054224378e-06	0.00113744208270857	5.31087370951789	"DOWN"
"Opa3"	0.31735904194039	5.24420835836261	6.59128958729916	1.80349583371158e-06	0.00139577695416178	5.20045577371493	"UP"
"Cygb"	-0.504789007570801	5.31445029915564	-6.52402801446182	2.08514960638438e-06	0.00150617306567832	5.06748293401559	"DOWN"
"Cdc25b"	-0.539025107541153	4.71863591231627	-6.42282639553816	2.59679532313589e-06	0.00175851733288608	4.81917691124336	"DOWN"
"Axin2"	0.416853818857155	5.07479269905998	6.37554203143213	2.87845890309563e-06	0.00180435549479622	4.75501688230653	"UP"
"Ccnd1"	-0.364121667244821	7.61161329031506	-6.35696348741745	2.99754489213954e-06	0.00180435549479622	4.73675122728126	"DOWN"
"Nnat"	-0.55589905508708	4.11665407582232	-6.32450882678794	3.21785420724875e-06	0.00183502370187054	4.52963457327814	"DOWN"
"Itpk1"	0.265137226977324	5.07156640589122	6.26466489467233	3.66869406359687e-06	0.0019875150089536	4.52981790194323	"UP"
"Suox"	0.398194575363271	4.48825853855352	6.1800056548995	4.41978868674573e-06	0.00224689904894261	4.30741183189688	"UP"
"Scd2"	0.512672715646852	10.0138668400403	6.11700202154775	5.07983306007628e-06	0.00224689904894261	4.20564459718505	"UP"
"Tspan11"	0.465716282533979	6.4483023948124	6.10486965307666	5.21811776409577e-06	0.00224689904894261	4.21410165683791	"UP"
"Rmdn2"	0.382483569328146	4.75442539918042	6.08445050049179	5.45962774076009e-06	0.00224689904894261	4.14071661405968	"UP"
"Npc1"	0.35696388425586	6.95297254926396	6.07876549038292	5.52888518285863e-06	0.00224689904894261	4.1590984887304	"UP"
"Scn7a"	-0.411310259788509	8.80151198810039	-6.07347250724523	5.59417598265784e-06	0.00224689904894261	4.13803671471402	"DOWN"
"Kank4"	0.468755849193335	5.37953500326091	6.0730757060878	5.59910238315187e-06	0.00224689904894261	4.1431899556084	"UP"
"Fblim1"	-0.587453150717028	5.68747082083801	-5.98123909951713	6.86777815173496e-06	0.00263972313847636	3.95294054126512	"DOWN"
"Tiam1"	-0.40302641217321	5.16305674266155	-5.95664832710948	7.25505423270063e-06	0.00263972313847636	3.89567665472855	"DOWN"
"Pi4ka"	0.223674262220579	6.44612568086864	5.93257953306413	7.65577835446069e-06	0.00263972313847636	3.84939141715961	"UP"
"Pkig"	-0.489851379696486	5.80178061956004	-5.92615128325471	7.76658815518653e-06	0.00263972313847636	3.83650155411992	"DOWN"
"Rab27a"	0.309740197717585	6.18242834582725	5.92445297830819	7.79613663417106e-06	0.00263972313847636	3.8322627340735	"UP"
"Nfil3"	1.24169689826468	3.46883233109448	5.86584566528855	8.88956304487456e-06	0.00291873986640048	3.53988213015033	"UP"
"C77370"	0.337030344357629	3.55980182291592	5.80745207149045	1.0135487685544e-05	0.0030444115107028	3.40522165085759	"UP"
"Fus"	-0.307225941096934	8.00254390767656	-5.79768321723061	1.0360742390389e-05	0.0030444115107028	3.56365014506501	"DOWN"
"Esrp2"	0.263678290662346	6.08868887571514	5.78701614664274	1.06125611915193e-05	0.0030444115107028	3.5388335789418	"UP"
"Bri3"	-0.499576266438795	6.05101591497292	-5.77798547815815	1.08306362414354e-05	0.0030444115107028	3.51982332598551	"DOWN"
"Lgals1"	-0.321269815897516	6.35964195724501	-5.77408498861312	1.09262377552311e-05	0.0030444115107028	3.51061897856072	"DOWN"
"Larp1b"	0.375677051385842	4.67289360191986	5.7727889030396	1.09581955622897e-05	0.0030444115107028	3.49219961055046	"UP"
"Tfrc"	0.517374286052018	6.63551192482958	5.75995291279955	1.1279900638304e-05	0.00305544308540059	3.48045287864968	"UP"
"Ssfa2"	0.240504375856133	6.1346746859286	5.74642712355583	1.16293509409026e-05	0.00307326871816292	3.45153232785314	"UP"
"Rsad1"	-0.48553679101549	3.85944492675595	-5.66026671147905	1.41308054212403e-05	0.00364541135093186	3.1708728910465	"DOWN"
"Gm42528"	0.607653184905342	4.05564437804562	5.60543032161513	1.60029605555175e-05	0.00403237389811702	3.08756833575212	"UP"
"Tcf21"	-0.329683003754276	6.40112211635841	-5.58127599517727	1.69061707873371e-05	0.00416314455638177	3.0944081394443	"DOWN"
"Ppm1b"	0.227843580084698	6.82318323722589	5.57139486726586	1.72904990417106e-05	0.00416316793593188	3.0736030220331	"UP"
"Plekha6"	-0.583901329753377	5.8920519649428	-5.52780339980678	1.90953523002282e-05	0.00449778569941246	2.98119207810858	"DOWN"
"Spp1"	0.758787556788489	6.72639560594402	5.5139695402486	1.97074243428651e-05	0.00454319027138177	2.94892575881184	"UP"
"Srr"	0.201090588085815	5.08411845804425	5.49781265615814	2.04476683090747e-05	0.00455209927313826	2.92261658923502	"UP"
"Adgra3"	0.276712620837959	6.38173645725884	5.48970001287168	2.08299882176042e-05	0.00455209927313826	2.89522173877605	"UP"
"G6pc3"	-0.282954566469385	4.88163782123227	-5.48600649774888	2.10064571903011e-05	0.00455209927313826	2.89579543349525	"DOWN"
"Ptprb"	0.341588955865417	9.95601302528882	5.47488759181301	2.15469529757607e-05	0.00457767128416405	2.86931068710984	"UP"
"Ifrd2"	-0.42685842049355	4.55887121065291	-5.46131214602165	2.2226129879363e-05	0.00459999417530554	2.83353772572998	"DOWN"
"Cpt1a"	-0.479786309656384	6.79412775696017	-5.45517412573615	2.25403391922943e-05	0.00459999417530554	2.82073878175697	"DOWN"
"Snx30"	0.440738747091556	5.26750152343508	5.44018104964261	2.33270187117584e-05	0.00459999417530554	2.79793506627915	"UP"
"Pcdhga8"	-0.413958704822306	6.66914750678057	-5.43211556635958	2.3761728456293e-05	0.00459999417530554	2.76994987741947	"DOWN"
"Sowahc"	0.276931067546424	5.43664446878219	5.42487973555374	2.41587442946879e-05	0.00459999417530554	2.76267825963948	"UP"
"Eef2k"	-0.435447481284215	4.94434360830983	-5.42414699625052	2.41993233034071e-05	0.00459999417530554	2.76409481926187	"DOWN"
"Ell2"	0.266863602130124	5.08758022213661	5.40413243518539	2.53349961096727e-05	0.00470971100043142	2.72125297027008	"UP"
"Trf"	-0.242047492974377	9.05030774904753	-5.38701115612105	2.63495213822707e-05	0.00470971100043142	2.68456040215366	"DOWN"
"Kcne2"	0.497804527192054	4.90718628752507	5.38576822638887	2.64247633355317e-05	0.00470971100043142	2.68152405747432	"UP"
"Slc39a11"	-0.295138881648032	3.79484851026002	-5.38427878307662	2.65152165229642e-05	0.00470971100043142	2.60439348763179	"DOWN"
"Ccl21a"	-0.416099905210372	6.37872444041967	-5.36014978648615	2.80252912862641e-05	0.00487035035329084	2.612195866764	"DOWN"
"Wdr91"	0.329791603120776	4.96196144285986	5.35561689053201	2.83186038077824e-05	0.00487035035329084	2.6170411309151	"UP"
"Fam110a"	0.261786764837994	4.92861746515836	5.33126310993202	2.99488432242978e-05	0.00503252811712684	2.56461720553632	"UP"
"Hnrnpa1"	-0.258040011462916	7.5368436182055	-5.32776797735839	3.019052400676e-05	0.00503252811712684	2.54702286640305	"DOWN"
"Slc2a1"	0.313032185025239	5.31936372988429	5.31850286737591	3.08408374408412e-05	0.00506303747987142	2.53339603130798	"UP"
"Colq"	-0.895185117047718	4.76509995692215	-5.31156822682496	3.13368912310318e-05	0.00506768979833178	2.5202237143493	"DOWN"
"Trim3"	0.420415032940516	7.30671148165195	5.2983254278977	3.2306862905448e-05	0.00511773302910539	2.48057829951586	"UP"
"Acadl"	-0.297266069020865	6.78961842045741	-5.29023089999284	3.29147384029875e-05	0.00511773302910539	2.45931271113523	"DOWN"
"Plac9b"	-0.373212397209461	4.58844353127043	-5.28284792210887	3.3479323680858e-05	0.00511773302910539	2.45649040770504	"DOWN"
"Plcb4"	0.421012234970554	6.36031208628752	5.28211798235152	3.3535675594507e-05	0.00511773302910539	2.44090329564171	"UP"
"Fibp"	-0.282336326719931	5.13220575867006	-5.26482607465757	3.4899217985719e-05	0.00519034196409279	2.4195230396248	"DOWN"
"Atp8a1"	0.276677001399094	8.79118296805484	5.26395301311321	3.49695397673072e-05	0.00519034196409279	2.4177667392969	"UP"
"Gdpd2"	0.78936115674921	5.10674119651938	5.24781503449886	3.62956640543616e-05	0.00527456388824418	2.38380758512475	"UP"
"Kalrn"	0.625225532274191	5.03415207838097	5.24525607451959	3.65105945194567e-05	0.00527456388824418	2.37867872834106	"UP"
"Edn1"	0.403698599959469	5.58235666573776	5.20931109580167	3.96701480690636e-05	0.005655605978004	2.28994128948136	"UP"
"Athl1"	-0.346218897653962	5.06072198035153	-5.18209163051005	4.22466196045402e-05	0.00594470290149601	2.24084858832794	"DOWN"
"Ak8"	-0.435011554769579	3.31395617740053	-5.17348169118566	4.30965111204541e-05	0.00598654741012975	2.11905802779159	"DOWN"
"Dap"	-0.249468550156137	5.99806664435134	-5.14647749556592	4.58765091331518e-05	0.0062920503349076	2.14368442648082	"DOWN"
"Epdr1"	-0.321824026896207	4.29423145550071	-5.13346348424762	4.72806469801175e-05	0.00640357262536966	2.12838346222197	"DOWN"
"Adamtsl4"	0.50047301440548	6.62033270758202	5.12513809542936	4.8201727565383e-05	0.00644772491569043	2.09456563050936	"UP"
"D330041H03Rik"	-0.53360912110666	5.53685813721126	-5.11974868078916	4.88076827924907e-05	0.0064491615006907	2.0945726743339	"DOWN"
"Msh3"	0.286045570912632	4.10463824232808	5.09043520487339	5.22416245039088e-05	0.00681973495782954	2.02704852819239	"UP"
"Ppp1r14a"	-0.462450901357666	5.46835968049034	-5.06037793869639	5.60177880793786e-05	0.00722562778381032	1.96522410599559	"DOWN"
"Rgs2"	-0.431881385394736	5.92664669599866	-5.03313800650638	5.96789656428318e-05	0.00760731285576568	1.89432650964595	"DOWN"
"Mctp1"	0.487147324175695	4.6227565727511	5.0228103326557	6.11297173857721e-05	0.00770163357994001	1.89915815558453	"UP"
"Diaph1"	0.243880305235554	7.75314237695994	5.01383296726573	6.24198279085201e-05	0.00777377971711282	1.85857522687949	"UP"
"Tmem50a"	-0.230132270544426	6.99568061120546	-5.00072497214766	6.4353311199134e-05	0.00783688487629281	1.82038998239898	"DOWN"
"C1qtnf7"	-0.337377217818796	5.37644015505441	-5.00059275634776	6.43731198883304e-05	0.00783688487629281	1.83558636403688	"DOWN"
"Fam210b"	0.40202674008479	5.59750333401639	4.96485918457956	6.99599388886271e-05	0.0083747562491621	1.75043173446401	"UP"
"Acsf2"	-0.284888132092105	5.61074811605107	-4.9575039199197	7.11695874762214e-05	0.0083747562491621	1.73320296814592	"DOWN"
"Actg1"	-0.210209489134082	10.2897423015664	-4.95076773726095	7.22960125104392e-05	0.0083747562491621	1.74328183434522	"DOWN"
"Pard3"	0.31385873362373	6.0523073356549	4.94796268633523	7.27703857844358e-05	0.0083747562491621	1.7028380892301	"UP"
"Brwd3"	0.314802831113801	4.24419721722929	4.94331488314385	7.3563347731668e-05	0.0083747562491621	1.72230228772885	"UP"
"Mustn1"	-0.433885456105241	4.92919702218961	-4.94199460030075	7.37901940537343e-05	0.0083747562491621	1.71990817816391	"DOWN"
"Il1rl2"	-0.350422059575302	4.09696531571137	-4.9319621416538	7.55372533390765e-05	0.0083747562491621	1.69212497083647	"DOWN"
"Aldh3a1"	0.562642490611718	5.63997202173297	4.92828661748842	7.61877505374858e-05	0.0083747562491621	1.66906136458679	"UP"
