""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"
"Rorc"	1.24477658538695	5.01216410639084	10.1397727150047	2.06423053905023e-09	2.24278648067807e-05	11.2405373149074	"UP"
"Colq"	-0.973286772256966	4.92039825893044	-9.49478606115289	6.29949425736905e-09	3.42220025531574e-05	10.2726626906955	"DOWN"
"Slc38a5"	-0.626631439166751	4.71064876555961	-8.89111030161778	1.87334931825377e-08	6.78464678094239e-05	9.26853064968994	"DOWN"
"Gsta3"	0.676148674551861	8.12756150461036	8.34780794693448	5.19669953860474e-08	0.000141155351217351	8.56916014679269	"UP"
"Pcdhac2"	0.532862715364751	4.51884311233602	8.13877307555559	7.77432081028874e-08	0.000162356267201593	7.95744544773796	"UP"
"Rcn3"	-0.308268096197309	6.1919288611464	-8.06548283589867	8.96583159879945e-08	0.000162356267201593	8.0662640503013	"DOWN"
"Pgm5"	-0.496795299644581	4.87373824391143	-7.91052348936845	1.21492046654035e-07	0.0001777814121594	7.65524109075932	"DOWN"
"Plekha6"	-0.900867458897261	6.01193996138398	-7.87272495738596	1.30902098230575e-07	0.0001777814121594	7.6999465119203	"DOWN"
"Cyp4b1"	0.51952276482246	9.45896296397874	7.7796434171326	1.57428993051737e-07	0.000190051778834125	7.49769701644947	"UP"
"Khdrbs1"	-0.313567246335073	6.68144857163434	-7.60787409176691	2.21969624086327e-07	0.000241169996569794	7.21971651792556	"DOWN"
"C1qtnf2"	-0.703299980338311	4.51728086651488	-7.3075874926377	4.08582765112605e-07	0.000388261996111937	6.47907764160225	"DOWN"
"Hspb1"	1.05590141396672	6.96670757331489	7.28404664183619	4.28821348674021e-07	0.000388261996111937	6.59570982071085	"UP"
"Tspan11"	0.452194609960256	6.33412692221424	7.21065487943773	4.98819201219383e-07	0.000416897740096046	6.45086323232212	"UP"
"Uap1l1"	-0.311175668914488	5.36953964491403	-7.09922346237468	6.28415035660828e-07	0.000455711647197824	6.20530956403391	"DOWN"
"Acoxl"	-1.07183878955702	5.66762628825887	-7.09866436362409	6.29146314585123e-07	0.000455711647197824	6.21239865885059	"DOWN"
"Hspa4l"	0.72658614193081	6.97709083052696	6.97637768174707	8.12198416901693e-07	0.0005344542169469	5.98979650449669	"UP"
"Cry1"	1.29804938041524	4.97878016483311	6.96247141737957	8.36237615103294e-07	0.0005344542169469	5.88753543168106	"UP"
"Ces2g"	-0.391789506118369	4.73860722173383	-6.92681997584962	9.012736076486e-07	0.000544018763727891	5.81054353325855	"DOWN"
"Ivd"	0.33810806181517	6.94216707392344	6.82654748056813	1.11361515898676e-06	0.000603101734850019	5.68950370551941	"UP"
"Aldh2"	0.314898849885514	9.9629335717722	6.81197326668786	1.14851733276736e-06	0.000603101734850019	5.63455676421946	"UP"
"Akr1c14"	1.27815507920127	6.86865088647958	6.8049721166334	1.16568213822829e-06	0.000603101734850019	5.64498877275576	"UP"
"Hsp90aa1"	0.96056128634746	9.35594014163605	6.70188038237603	1.45135142789631e-06	0.000712019194201921	5.4240779414457	"UP"
"Pdcd4"	-0.495410129295036	5.25664092634257	-6.68416709378305	1.5072656665112e-06	0.000712019194201921	5.37953292934022	"DOWN"
"Fmo2"	0.673695297857536	10.3870680602953	6.60295299399748	1.79345357823753e-06	0.000811911380314616	5.21065344101487	"UP"
"Hexb"	-0.233984999317877	5.86158000004502	-6.56213423885942	1.95784495537847e-06	0.000838183778179257	5.14857329832567	"DOWN"
"Tmsb10"	-0.402371107398241	7.02447625889464	-6.55089427998907	2.00577802417494e-06	0.000838183778179257	5.12783498114646	"DOWN"
"Nbn"	0.275581978554299	4.70876557594095	6.52807379895673	2.10684305516034e-06	0.00084213325547637	5.0282216546208	"UP"
"Il6ra"	0.39863236309234	5.96698211467391	6.51432463790897	2.17024676975042e-06	0.00084213325547637	5.05125013636625	"UP"
"Tcn2"	0.422158060390075	7.55955747929615	6.49217351787157	2.27655065522874e-06	0.000852921478243455	5.00672211130504	"UP"
"Fkbp4"	0.582987701660847	7.78510853175249	6.47092033508985	2.38357858331604e-06	0.000863252710257628	4.96273066887399	"UP"
"Gm20634"	0.956985172629071	3.91144085485266	6.43911864531249	2.55347451704781e-06	0.0008949516331524	4.69765383959126	"UP"
"Spp1"	0.876922518659322	6.08587304191742	6.38421720104533	2.8766425461062e-06	0.000976710039482622	4.78290683136919	"UP"
"Fibin"	0.422876217333898	6.20491563704995	6.23957903366156	3.94482800881826e-06	0.00129880473684274	4.48153342564849	"UP"
"Tfpi"	-0.268900624517795	5.41911610265262	-6.19813662851729	4.32048741650033e-06	0.00137971778564114	4.39350332281775	"DOWN"
"Fmo1"	0.309175730930985	9.012686963458	6.1852574667517	4.44455798411781e-06	0.00137971778564114	4.3680653616602	"UP"
"Scn3a"	-0.964028370339429	4.76275392027714	-6.13426475907331	4.97277725199545e-06	0.00147372646016837	4.23275021020878	"DOWN"
"Colgalt2"	-0.380756287093056	4.55726775156196	-6.12952982847488	5.02498341429149e-06	0.00147372646016837	4.21243481545279	"DOWN"
"Pamr1"	-0.625239315933651	5.06070069502938	-6.10710780031329	5.27994076353403e-06	0.00147372646016837	4.19621148717659	"DOWN"
"Slc29a1"	0.379783931344956	6.89821597116049	6.10625014086528	5.28995231905813e-06	0.00147372646016837	4.19939803837517	"UP"
"Gng2"	-0.376039984830835	5.10219701435158	-6.07891088558864	5.6194944985837e-06	0.0014741533955302	4.13980336333646	"DOWN"
"Tmem51"	-0.348042859242873	4.12556325905964	-6.06095596946318	5.84729885247742e-06	0.0014741533955302	4.01772478097929	"DOWN"
"Nr1d1"	-3.59704664044688	5.52835549815029	-6.05316316393304	5.94909510045192e-06	0.0014741533955302	4.04722152981411	"DOWN"
"Actn4"	0.232717529880786	8.51765419816436	6.04613525601904	6.04245654690651e-06	0.0014741533955302	4.07546853650963	"UP"
"Slc35b2"	-0.308292025043483	5.06109379410518	-6.03655486758226	6.17214980152281e-06	0.0014741533955302	4.05078379706094	"DOWN"
"Lrrc16a"	0.452502194638575	6.31755153440401	6.03406275638799	6.20635151656e-06	0.0014741533955302	4.04756436797254	"UP"
"Vnn1"	-0.609833529957793	4.17899282866297	-6.03153516702698	6.24123849004962e-06	0.0014741533955302	3.96522701384786	"DOWN"
"Esrp2"	0.330995328384652	5.94304600975077	6.00543709367203	6.61342156576076e-06	0.0015211840685472	3.98874961191178	"UP"
"Cdkn1c"	0.47353139576043	5.88005138950133	5.99821544142315	6.72037140269358e-06	0.0015211840685472	3.97395690596491	"UP"
"Prx"	0.401159764450947	8.08112905140135	5.9818034631692	6.97006347198085e-06	0.00152133489769393	3.93759446974957	"UP"
"Slc6a2"	0.60630759578605	6.50856114274945	5.96323548068941	7.26404100892828e-06	0.00152133489769393	3.8961282106385	"UP"
"Adgra3"	0.301839077497292	6.43741508812172	5.95772997477374	7.35362479987365e-06	0.00152133489769393	3.88434408483343	"UP"
"Adamtsl4"	0.597260502245039	6.38877350190508	5.94236231279921	7.6097157568585e-06	0.00152133489769393	3.85213418446355	"UP"
"Spns2"	-0.278098484183989	6.71622253559047	-5.9423005136641	7.61076382270168e-06	0.00152133489769393	3.85065115952995	"DOWN"
"Dnajb2"	0.354095926815089	6.46444649772172	5.94172522725374	7.62052733168097e-06	0.00152133489769393	3.85010276929162	"UP"
"Stip1"	0.849350720508911	6.81737863824113	5.93700113666037	7.70118908174562e-06	0.00152133489769393	3.83954769448296	"UP"
"Prcp"	-0.29797874219122	5.78325807407255	-5.92611457274078	7.89041707375585e-06	0.00153088181261352	3.82130669309505	"DOWN"
"Zrsr1"	0.256342973835767	5.61786164866077	5.91005343605735	8.1783190275866e-06	0.00155890239008295	3.78832478638721	"UP"
"Nagk"	-0.265092121792244	5.06520734096694	-5.87586949318736	8.82741765438684e-06	0.00163402139332902	3.71476099677569	"DOWN"
"Prdx6"	0.492549223598374	10.4804944443096	5.87355665458003	8.87319486483313e-06	0.00163402139332902	3.71028535892177	"UP"
"Ahsa1"	0.521538022335386	6.66148658918534	5.85729645244622	9.20195988403437e-06	0.00163640823241698	3.66862589938124	"UP"
"Fibp"	-0.344503343239605	5.18952056262505	-5.85643561670018	9.21970859395646e-06	0.00163640823241698	3.67512495207575	"DOWN"
"P4ha2"	0.531187266274293	5.94989399593349	5.85074153555622	9.33799451540295e-06	0.00163640823241698	3.65928044860881	"UP"
"Rangap1"	0.298098059210669	6.05804609673294	5.83203026489354	9.73774095661649e-06	0.00167937389672442	3.61768264959875	"UP"
"Ces1d"	0.386474070722977	9.81776105477051	5.81271810413417	1.01687070104158e-05	0.00170018740408773	3.58284975241916	"UP"
"Cirbp"	-0.750544380324317	6.1411754557614	-5.81234137274283	1.01773053645483e-05	0.00170018740408773	3.57573047726212	"DOWN"
"Fxr2"	0.213470122333701	6.4768894435338	5.80418575327685	1.03652796072203e-05	0.00170018740408773	3.55479768441576	"UP"
"Plod1"	0.407349426471904	5.92783089823044	5.79779163780166	1.05151344831085e-05	0.00170018740408773	3.5457495540087	"UP"
"Unc45a"	0.206594238511793	6.03156904352871	5.79249933730697	1.06408415534253e-05	0.00170018740408773	3.53290401626874	"UP"
"Baiap2"	0.397297793801936	6.3091872332521	5.76847727524762	1.12310417781178e-05	0.00176848215825	3.47896716687083	"UP"
"Bex2"	-0.410711395164597	5.16691423722587	-5.74685002249598	1.17910124013059e-05	0.00183013356771698	3.44286459085086	"DOWN"
"Gbas"	-0.27218928280614	6.20225988636041	-5.72520153705275	1.23801436881115e-05	0.00189451072072298	3.38604796176578	"DOWN"
"Psme1"	-0.244721183678603	7.00878191160815	-5.7050599730148	1.29552764994437e-05	0.00195498721064523	3.33928059518567	"DOWN"
"Bcap29"	-0.362842341313546	4.53203153654914	-5.69255020906936	1.33261611420312e-05	0.00196223615764525	3.31194089713403	"DOWN"
"Kdelr3"	-0.496567419378559	3.47688637223143	-5.69127683779996	1.33645168583294e-05	0.00196223615764525	3.16643663764504	"DOWN"
"Arhgdib"	-0.454688596627158	5.67900175551359	-5.6842154816315	1.35792710060925e-05	0.00196718372641594	3.30472992832905	"DOWN"
"Letm1"	0.211149762773936	5.86469796805193	5.67540558505738	1.38521540338882e-05	0.00196923745315063	3.28270576106914	"UP"
"Gnal"	-0.344811212263576	3.62669498373624	-5.6689408388817	1.4055955252028e-05	0.00196923745315063	3.14830999847114	"DOWN"
"Fam195b"	-0.284319308198573	5.99633182967337	-5.6652289798367	1.41743531848831e-05	0.00196923745315063	3.25881135627336	"DOWN"
"Gata2"	0.413828960144243	7.08467743784022	5.65072956171324	1.4646689984701e-05	0.00196923745315063	3.22157782130387	"UP"
"Sec14l1"	0.366780928255267	7.86092799503417	5.63340587699505	1.5232168590668e-05	0.00196923745315063	3.18729321481676	"UP"
"P4ha1"	0.662718559949459	6.97242675792866	5.63312260384474	1.52419382995593e-05	0.00196923745315063	3.18367843013522	"UP"
"Ace"	0.363820906534391	10.0118367900149	5.62723833816435	1.544633193811e-05	0.00196923745315063	3.18745995337482	"UP"
"Wbscr27"	-0.80750001971909	3.39416660432788	-5.62722627536798	1.54467538088585e-05	0.00196923745315063	3.04749315401008	"DOWN"
"Bri3"	-0.471038820759984	6.08998301298654	-5.62007861045674	1.56988086083339e-05	0.00196923745315063	3.16012169422898	"DOWN"
"Nrros"	-0.362233844147841	4.79404505553248	-5.60882008131098	1.61043754945977e-05	0.00196923745315063	3.146208585765	"DOWN"
"Rgs2"	-0.720612512197264	6.16887063159434	-5.60702790892608	1.61699150944538e-05	0.00196923745315063	3.13180163126384	"DOWN"
"Irf5"	-0.334870305971375	4.64808755484831	-5.60681879683042	1.61775800251142e-05	0.00196923745315063	3.13794887828982	"DOWN"
"Mpg"	-0.377230974949681	3.89364065380811	-5.60397947186754	1.62820223378897e-05	0.00196923745315063	3.06379277506899	"DOWN"
"Tmem86a"	-0.615234788867231	4.00147709105702	-5.5978582646402	1.65095339577827e-05	0.00196923745315063	3.06472523863472	"DOWN"
"Adcy4"	0.305384185650695	6.89683399097273	5.59770307954556	1.65153438336051e-05	0.00196923745315063	3.10614511399948	"UP"
"Phpt1"	-0.309159744555082	4.6667459993247	-5.59544663193933	1.66000577185075e-05	0.00196923745315063	3.11468793499425	"DOWN"
"Cers4"	-0.316711869588271	6.40120592282607	-5.59347004585801	1.66746291477089e-05	0.00196923745315063	3.09873717145624	"DOWN"
"Hsp90ab1"	0.621644958279704	10.5281517242472	5.58234261477479	1.7100865582336e-05	0.00199785918873205	3.09215908166462	"UP"
"Sphk2"	0.26548025171653	5.62151531540428	5.55485073139202	1.82022654935621e-05	0.00208725310046876	3.02595149851448	"UP"
"Mr1"	-0.337943836733417	5.25572347823215	-5.54692649449136	1.85329801219534e-05	0.00208725310046876	3.01479471803616	"DOWN"
"Ufc1"	-0.222850131041064	5.95969383350525	-5.54690748616972	1.85337807535007e-05	0.00208725310046876	3.00240588799743	"DOWN"
"Olfml3"	-0.328476596805603	6.61490848833998	-5.54452353559013	1.86344731473051e-05	0.00208725310046876	2.99088318036518	"DOWN"
"Junb"	-0.449085019088503	5.78741363373957	-5.53300290758205	1.91290005484496e-05	0.00209051401778461	2.97569442661278	"DOWN"
"Hsph1"	1.47209895254949	6.71720932376627	5.53235908780305	1.91570285933733e-05	0.00209051401778461	2.96756413629807	"UP"
