""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"
"Mki67"	0.684981455785299	3.8758957183278	6.3101723175166	3.53716734223008e-06	0.0325253609309271	3.87074991201847	"UP"
"Slc10a6"	-0.697263917352587	4.5401622315259	-6.06969653524468	5.98112558494431e-06	0.0325253609309271	3.75418892071379	"DOWN"
"Csf3r"	1.05181937051295	3.57449146240028	5.63853316217291	1.56086934418875e-05	0.0419020667309784	2.58347154920076	"UP"
"Cebpb"	-0.291907239586019	5.04986467860391	-5.55048027045201	1.90355317050803e-05	0.0419020667309784	2.89164122521925	"DOWN"
"Gata2"	-0.424113799766399	7.09153319758551	-5.54520947598803	1.92635466766175e-05	0.0419020667309784	2.95383366974703	"DOWN"
"Lrrc26"	-0.296879471246378	4.75251544553324	-5.34417297512552	3.04022069255433e-05	0.0551090670870348	2.43434872761507	"NO"
"Junb"	0.451513435915992	5.78780887551276	5.24865739061575	3.78151494728333e-05	0.0587539379523621	2.3286880372221	"NO"
"Egr1"	0.974395048127715	5.15107640545737	5.183649952272	4.38904739851698e-05	0.0596690993828384	2.15127449338411	"NO"
"Prkg2"	-0.276886203084364	4.6889606066245	-4.95594583957587	7.417503633028e-05	0.0604807227457814	1.64810481619929	"NO"
"S1pr1"	-0.358250084548834	7.90223037969299	-4.9519961402877	7.48559935921437e-05	0.0604807227457814	1.70970428089324	"NO"
"Errfi1"	-0.801097926863561	7.41824348209515	-4.94179822478706	7.66436530120075e-05	0.0604807227457814	1.69010972528959	"NO"
"Cacnb3"	0.236679995449666	4.71389884414795	4.90822678759967	8.2840264327214e-05	0.0604807227457814	1.55534878473036	"NO"
"Spp1"	-0.710445368116216	6.0044331457267	-4.87625480320722	8.92135899789589e-05	0.0604807227457814	1.54947480835019	"NO"
"Lgals1"	0.286930953812392	6.67652421879705	4.84273820927454	9.64293212250842e-05	0.0604807227457814	1.48054824778873	"NO"
"Stard4"	0.282226745508853	5.8278837498334	4.81339811704009	0.000103229855717292	0.0604807227457814	1.41550696301005	"NO"
"Egfl6"	0.35658930314795	6.31771930720684	4.80397922701684	0.000105514386732709	0.0604807227457814	1.3976087407562	"NO"
"Gnpda1"	0.247578424060778	4.16753640304415	4.77197781010864	0.000113665545100178	0.0604807227457814	1.1891047380183	"NO"
"AA986860"	-0.658954748265863	6.28866820595433	-4.77122612836248	0.000113864482438266	0.0604807227457814	1.32749000688682	"NO"
"Ttf2"	0.273285884951922	3.64382901926232	4.7501683982792	0.000119583006781937	0.0604807227457814	1.01341029701916	"NO"
"Tsc22d3"	-1.14703026727575	7.73627590980102	-4.74266237382993	0.000121690872147306	0.0604807227457814	1.26585260130159	"NO"
"Nfkbia"	-0.521428259531721	6.90802863252903	-4.73636454515956	0.000123488411209471	0.0604807227457814	1.25330557158627	"NO"
"Ms4a4d"	-0.356401530714839	5.66309520981093	-4.73596377652703	0.0001236037038641	0.0604807227457814	1.24952090453982	"NO"
"1600020E01Rik"	-0.314640020524825	3.9458346245855	-4.72128778408649	0.000127901491647018	0.0604807227457814	1.03974002824792	"NO"
"Ercc5"	-0.200337311847624	5.19119267727511	-4.67841857436396	0.000141340636503313	0.0640508651087514	1.11843130322784	"NO"
"Itgax"	0.321441357489812	5.32902673230603	4.65627562569743	0.000148832310663145	0.0647480084308945	1.07562078768666	"NO"
"Fam198b"	0.244448850122173	6.2874154395107	4.60035491381339	0.000169587277891723	0.0709396628596298	0.961879482094514	"NO"
"Cyr61"	0.531146079854413	6.75658705974626	4.58318604932494	0.000176528086871357	0.0711081286226992	0.924849550011623	"NO"
