""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"
"Mki67"	0.565549217544784	3.88151733781172	6.51438472814523	2.2034156342917e-06	0.0238673981506477	4.08990698164976	"UP"
"Cdh13"	0.447841709515418	5.37370360195989	6.10176558882619	5.41490378483835e-06	0.0245051666104431	3.94713728037339	"UP"
"Lgals1"	0.455277109491337	6.42208384050025	5.96396759874684	7.34584209627952e-06	0.0245051666104431	3.76098522177583	"UP"
"Spry4"	0.311096095886109	4.71102420916782	5.8192073408129	1.01446902495839e-05	0.0245051666104431	3.27841247278233	"UP"
"Actg1"	0.176636530419009	10.2684305031686	5.73517596204893	1.22490548862475e-05	0.0245051666104431	3.19505384303172	"UP"
"Mcm3"	0.253021984201584	4.26168761032661	5.57914797344016	1.74184620463007e-05	0.0245051666104431	2.68927101965729	"UP"
"Aqp5"	0.238384518437863	8.14040064039898	5.51418899301983	2.01838779035155e-05	0.0245051666104431	2.84666802107806	"UP"
"Gm44220"	-0.323523002982406	4.72775152754808	-5.49325261502201	2.11675693625063e-05	0.0245051666104431	2.66561523480497	"DOWN"
"Vim"	0.194635512701458	9.50390317720281	5.47213894534151	2.22091643326856e-05	0.0245051666104431	2.71430149013737	"UP"
"Tubb5"	0.239745819977219	7.84417536885199	5.43872875920968	2.39653194416111e-05	0.0245051666104431	2.70136620202154	"UP"
"Gm38102"	-0.381663119906729	4.21169045176821	-5.37806891586674	2.7524221145158e-05	0.0245051666104431	2.29912302556129	"DOWN"
"Ndnf"	0.412645818424378	7.48434932569174	5.35262424859523	2.91732632494818e-05	0.0245051666104431	2.53286280022174	"UP"
"Firre"	-0.21778750885047	7.36236031876185	-5.34909482038651	2.94098196026367e-05	0.0245051666104431	2.52773961668421	"DOWN"
"Ccnd1"	0.275746436045504	7.56291327776729	5.31397679199007	3.18727095245719e-05	0.024601031621475	2.45268803709392	"UP"
"Junb"	0.340968835749236	5.38212576438891	5.28493996008885	3.40671597417028e-05	0.024601031621475	2.35271316757978	"UP"
"Col12a1"	0.426224363662942	6.20271186239327	5.20128077770476	4.1289422932259e-05	0.0279529393251393	2.22190763456996	"UP"
"Top2a"	0.420928842391443	3.65724106898127	4.99868871494349	6.5939252501612e-05	0.0420149401822036	1.40419890641756	"UP"
"Ecscr"	0.254839883758374	6.05487026574683	4.90379769321294	8.21967328449948e-05	0.0494641672320546	1.60330388310115	"UP"
"Epb41l3"	0.291056069913976	4.25607221447274	4.8736794435206	8.81641377876257e-05	0.0502628389745033	1.36159776083144	"NO"
"A330023F24Rik"	-0.2475086697724	4.61369373680818	-4.81708719706697	0.000100590375814935	0.0530526553651464	1.32423862173408	"NO"
"Itgax"	0.2394839229718	5.20763396897549	4.80754817470756	0.000102853190792843	0.0530526553651464	1.36943428331551	"NO"
"Nptx1"	0.50785154523695	4.57171334715552	4.75065120819966	0.000117461574810941	0.0559710699995445	1.18193215413744	"NO"
"Gipc1"	0.182740751469836	5.57268405665285	4.74552765765817	0.000118875925816039	0.0559710699995445	1.26106377481371	"NO"
"Igfbp4"	0.25987839708285	7.57475350013683	4.71828568523881	0.000126690328806946	0.0559710699995445	1.21596184945728	"NO"
"Fnbp4"	-0.167741196756782	6.09846313676972	-4.70996241371237	0.000129179906756704	0.0559710699995445	1.1982088718546	"NO"
"Adamts9"	0.38064270188438	4.80506948062942	4.58407225928316	0.000173468320989	0.0654847673977183	0.879634630636072	"NO"
"Arpc4"	0.144440019248901	6.37552660919513	4.56003094214151	0.000183530186670495	0.0654847673977183	0.88368406229502	"NO"
