""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"
"Mki67"	0.626141439097814	3.87805673419783	8.89676102312104	7.69612059229390e-11	8.39031066971882e-07	12.9450651778363	"UP"
"Csf3r"	0.95756162325854	3.36856716642102	6.43758967190448	1.41165586025733e-07	0.000718886751708046	6.6003263834023	"UP"
"Top2a"	0.461226500122916	3.68002071548273	6.33062310701682	1.97822441306562e-07	0.000718886751708046	6.44088392501544	"UP"
"Itgax"	0.281323772949948	5.26768055676884	6.00879367327591	5.47081181596361e-07	0.00149106976044088	6.04553126958676	"UP"
"Lgals1"	0.372028083092514	6.54865423577673	5.86142495808524	8.72101496734624e-07	0.00190153010348017	5.66329571607448	"UP"
"Rsrp1"	-0.177654138329519	9.25714868882754	-5.5270776967578	2.51063719239537e-06	0.00428995017851576	4.64683044726675	"DOWN"
"Neat1"	-0.268400600313459	11.0567949797954	-5.4790465044176	2.92187946278602e-06	0.00428995017851576	4.45378818953797	"DOWN"
"Fam193b"	-0.191278811837389	7.12786879890455	-5.45540021088499	3.14834103817672e-06	0.00428995017851576	4.47550993478042	"DOWN"
"Vim"	0.166950108383713	9.53285133687908	5.41810946111655	3.54151087934708e-06	0.00428995017851576	4.32720873244763	"UP"
"Ndnf"	0.469914076027488	7.45839433510245	5.38185796638526	3.97051071777609e-06	0.00432865078451949	4.258907953117	"UP"
"Tubb5"	0.193019223065757	7.85562110365992	5.34089450563096	4.51779630492763e-06	0.00441595740971142	4.13646033736461	"UP"
"Slc10a6"	-0.46205742262812	4.64885293446811	-5.31767405852567	4.86071261388159e-06	0.00441595740971142	3.99548302769266	"DOWN"
"Aox3"	-0.202202629212935	7.89176256716878	-5.25450688691915	5.93019380727268e-06	0.00497315176052975	3.88569196063998	"DOWN"
"Cdh13"	0.344711123793593	5.32066166328341	5.18994685789077	7.26498368597245e-06	0.00565734658174798	3.68878804903688	"UP"
"Gm44220"	-0.295035622880572	4.77236607828973	-5.16784256707726	7.78742440365087e-06	0.00565990005657345	3.58979721344203	"DOWN"
"Errfi1"	-0.59673042408432	7.40545918273751	-5.0973488137875	9.71570771087106e-06	0.00649255295386826	3.43340336700412	"DOWN"
"Nfkbia"	-0.380873780111925	6.86035752032113	-5.0842143461835	1.01241423789911e-05	0.00649255295386826	3.39650282508657	"DOWN"
"Nxf1"	-0.141567508049502	7.64644264309152	-5.0440767833985	1.14807946740047e-05	0.00660488260070367	3.27868559848372	"DOWN"
"Dpep1"	-0.290068988315085	7.07026365909879	-5.04323808080266	1.15109860037947e-05	0.00660488260070367	3.27768008178453	"DOWN"
"Scrn1"	0.148021560156248	5.00441377999867	4.98844953507551	1.36635615587619e-05	0.00744800740568114	3.09975355804806	"UP"
"Clec11a"	0.47985517113898	3.84913254299037	4.95154450748956	1.5333718049006e-05	0.00796039019858395	2.83427702305689	"UP"
"Cyp2d22"	-0.21047462357568	5.88608664888284	-4.89464019715908	1.83130424877128e-05	0.0088297443844621	2.84856531736131	"DOWN"
"Mcm2"	0.282293881651221	4.07148798640747	4.8891671515216	1.86281527098357e-05	0.0088297443844621	2.71507229319571	"UP"
"Cfl1"	0.127977498046072	8.56058055065608	4.82593469568649	2.26815612006626e-05	0.010303099175401	2.6490454105054	"UP"
"Anxa6"	0.103201695267115	8.22433254353683	4.77538083438789	2.65395721448867e-05	0.01131198582262	2.50624217902574	"UP"
"Sertad3"	0.229072879105142	3.644569146932	4.77010505808307	2.69777684267216e-05	0.01131198582262	2.30715163252065	"UP"
"Adamts9"	0.368669294638781	4.74057431560856	4.72492542376495	3.10350010599468e-05	0.0120340086792241	2.34373548893062	"UP"
"Kifc2"	-0.223357801237155	4.37489799268548	-4.72122587235366	3.13927476429021e-05	0.0120340086792241	2.30332487589126	"DOWN"
"Apln"	0.399948059396513	5.58322710793561	4.71492722416597	3.20112136945055e-05	0.0120340086792241	2.33427405289378	"UP"
"Junb"	0.397031348685855	5.58431752607891	4.69533340885587	3.40130376638173e-05	0.0123603378870312	2.27860047130125	"UP"
"Snai1"	0.325467807867759	4.20697806343747	4.67093080689578	3.66795488990632e-05	0.0128993690999222	2.14511143927271	"UP"
"Nudt16l1"	0.16414272978865	5.06324128179788	4.64288194238933	3.99998385248209e-05	0.0136274449874249	2.12681787517672	"UP"
"Usp19"	-0.123508557735896	7.42795994968803	-4.62467172608715	4.23123246162076e-05	0.0138544936666965	2.076566023032	"DOWN"
"Cyr61"	0.415765448663734	6.74508494744004	4.60954736492623	4.4332703129253e-05	0.0138544936666965	2.03230208561168	"UP"
"Peg3"	-0.306862703666657	5.05282980737439	-4.59682804061863	4.61051568276439e-05	0.0138544936666965	1.99755362217374	"DOWN"
"Sparc"	0.226047409110233	10.8869954953446	4.59158805389912	4.68554948601773e-05	0.0138544936666965	1.97183094381253	"UP"
"Fhad1"	-0.275043073558058	5.65511885127529	-4.59019720734062	4.70566684021107e-05	0.0138544936666965	1.9803125182924	"DOWN"
"Mcm3"	0.239050453012142	4.32253962197995	4.58028697823992	4.85149291133863e-05	0.0138544936666965	1.91315791177433	"UP"
"Cdh16"	0.315469361048909	3.83118463768748	4.56353459517756	5.10818362230691e-05	0.0138544936666965	1.80040560391786	"UP"
"Ier2"	0.30506289666814	5.75763384596502	4.55753173067933	5.20338004943628e-05	0.0138544936666965	1.88728424962053	"UP"
"Adrb2"	-0.473255498017647	6.07274818708226	-4.55222104373169	5.2890541364284e-05	0.0138544936666965	1.8705005971687	"DOWN"
"Galnt15"	-0.438286205315381	5.39762491305174	-4.54925846544669	5.3374494037906e-05	0.0138544936666965	1.86607417848573	"DOWN"
"Gabbr1"	-0.160652955950582	6.06756988614076	-4.54041369872823	5.48454114333062e-05	0.0139029887681844	1.83665884892365	"DOWN"
"A330023F24Rik"	-0.267497535954338	4.54023673567567	-4.53298347883996	5.61118607411589e-05	0.0139029887681844	1.80199498590293	"DOWN"
"Akap8l"	-0.13490354343579	6.04825269544868	-4.52076430261911	5.82574156242884e-05	0.0141138298919109	1.78112728789993	"DOWN"
"Syne1"	-0.184261821988539	7.03864823382895	-4.4928768124111	6.34610290536972e-05	0.0148997024800817	1.70185129054595	"DOWN"
"Dnah1"	-0.32412706734477	4.71864786376939	-4.48548146775074	6.49159587586829e-05	0.0148997024800817	1.68021747548433	"DOWN"
"Nbl1"	0.152529598758068	8.09191512854367	4.47949695629737	6.61172922095734e-05	0.0148997024800817	1.66859816290212	"UP"
"Aldh1a7"	-0.184649664830025	7.53447555290812	-4.47093518214554	6.78740728751057e-05	0.0148997024800817	1.64193846995673	"DOWN"
"Lox"	-0.40304522987635	5.98858512516992	-4.4687262344204	6.83347206020994e-05	0.0148997024800817	1.63493378548655	"DOWN"
"Angpt1"	-0.186073289088047	6.58070680109488	-4.42307420283387	7.85730497113302e-05	0.0167264211281642	1.50432484680066	"DOWN"
"Ercc5"	-0.148301041147701	5.2208253981303	-4.41807800224689	7.97811317799061e-05	0.0167264211281642	1.49991284160716	"DOWN"
"Pea15a"	0.127656455069196	7.80727962063949	4.40879593852432	8.20741495205731e-05	0.016882497699496	1.46874901474339	"UP"
"Bcl6b"	0.361549842341484	5.00233399448185	4.38695249714047	8.77286558597676e-05	0.0175865355638777	1.41396250022928	"UP"
"Gnpda1"	0.179630772270016	4.12612021056449	4.38277752166415	8.88521307581605e-05	0.0175865355638777	1.36212689958387	"UP"
"Fkbp9"	0.0965063575377592	7.70799041590387	4.37734100631881	9.03362678019766e-05	0.0175865355638777	1.38010665730627	"UP"
"Gm43622"	-0.231460644301887	4.9264190096487	-4.36001186198308	9.52312246679066e-05	0.018214224760167	1.33945763307897	"DOWN"
"Tbx3os1"	-0.312983803042162	3.44353045043668	-4.34705698433814	9.9059646027412e-05	0.0186197976032904	1.16922911828533	"DOWN"
"Serf2"	0.123091064601144	8.2609921151309	4.33630563250458	0.00010235116177379	0.0189124129772518	1.26924915955293	"UP"
"Trim39"	-0.161706351838296	5.733268231496	-4.31902014714761	0.000107869195670303	0.0190835258507929	1.21784102184764	"DOWN"
"Hey1"	-0.32371261609115	6.3583005486178	-4.31530138266304	0.000109093909714415	0.0190835258507929	1.20210607669897	"DOWN"
"Spry4"	0.320045012866418	4.76973039295191	4.29945544464496	0.000114467046681434	0.0190835258507929	1.17226367766823	"UP"
"Ikbkb"	-0.116279472331978	6.50282507605656	-4.29700111913558	0.000115322143515551	0.0190835258507929	1.15077332488521	"DOWN"
"5330417C22Rik"	-0.195923318583056	7.61519381268573	-4.29663450068226	0.000115450410964574	0.0190835258507929	1.15426248894796	"DOWN"
"Gm38102"	-0.250108563011703	4.21858187837465	-4.29528183316917	0.000115924874176781	0.0190835258507929	1.13758087651437	"DOWN"
"Alox5"	0.271659334125321	3.5338460515164	4.29400026198693	0.000116376161720449	0.0190835258507929	1.05021391697239	"UP"
"Ccp110"	-0.187704814405845	5.87750653428849	-4.29144561265575	0.000117280887176952	0.0190835258507929	1.13904248989622	"DOWN"
"Vsig2"	-0.185231556246725	4.65953624397657	-4.28173958938187	0.000120781509787908	0.019364117936879	1.12244391548314	"DOWN"
"Fam234a"	0.106431109672829	6.22805051681978	4.26222270289685	0.000128133142312365	0.0200099254865223	1.05415103989784	"UP"
"Cfap53"	-0.248588608073185	3.77905987740415	-4.25899017487654	0.0001293923501949	0.0200099254865223	0.996665107479591	"DOWN"
"Card11"	0.337605133837124	3.95239533297005	4.25663865929099	0.000130315970422224	0.0200099254865223	1.01079608811455	"UP"
"Pla2g15"	0.185683492272253	5.46694821347841	4.22927997831649	0.000141547735416565	0.0211802010667365	0.973643658900835	"UP"
"Nme2"	0.164890908696787	6.56566098397363	4.22050673769637	0.000145346104966392	0.0211802010667365	0.937959208790608	"UP"
"Usp48"	-0.100439289631648	6.45540820294073	-4.21798091907725	0.000146458021868666	0.0211802010667365	0.930785373538847	"DOWN"
"Rgs10"	0.175715979415664	4.20031432622446	4.21512232335707	0.000147726473430209	0.0211802010667365	0.923934643731536	"UP"
"Ppp1ca"	0.107765059972843	7.7251076004854	4.21314446785244	0.000148610395350131	0.0211802010667365	0.923452717165499	"UP"
"Fhdc1"	-0.209506171743254	6.38504702685168	-4.20749643225043	0.00015116313101401	0.0211802010667365	0.901792005955943	"DOWN"
"Ttc21a"	-0.288922657130979	5.78341377814248	-4.20667721174648	0.00015153693663598	0.0211802010667365	0.905459123116311	"DOWN"
"S100a9"	1.17255548177804	3.37387653476185	4.17544226829276	0.000166483558117545	0.0228140841384641	0.746121663838101	"UP"
"Lxn"	0.177140872410157	4.95126418302873	4.17137718024599	0.000168531787200126	0.0228140841384641	0.824020696833087	"UP"
"Prkg2"	-0.298810502482449	4.78550476143722	-4.16383387855479	0.00017239799062048	0.0228140841384641	0.804670121762025	"DOWN"
"Efna1"	0.181606959685334	6.36326188382232	4.16258896289992	0.00017304433040957	0.0228140841384641	0.777481544752224	"UP"
"Igfbp2"	0.389058571808555	7.31975782167949	4.16134976019729	0.000173690055356129	0.0228140841384641	0.777154060108234	"UP"
"Fhl1"	-0.173770989463206	9.31112406314021	-4.15508406199476	0.000176991207761248	0.0229053657018095	0.777385280567872	"DOWN"
"Hexa"	0.133963060258568	6.77301420539875	4.15209591483233	0.000178587056013008	0.0229053657018095	0.748974062983553	"UP"
"E2f1"	0.272734662245989	3.35919854151522	4.14509101319807	0.00018238338780361	0.0230480676636824	0.645058498491067	"UP"
"Zfp839"	-0.142985004167177	3.90832577790801	-4.14228180608616	0.000183927892748153	0.0230480676636824	0.709455434671599	"DOWN"
"Rp1"	-0.250269241778025	4.2332060635936	-4.13648584321907	0.000187154993187262	0.0231859515423583	0.718497056171654	"DOWN"
"Gm20661"	-0.421673598817426	3.74481422194304	-4.1122867843475	0.000201236335897151	0.0246503206061881	0.614602372202937	"DOWN"
"Ttc16"	-0.280119596680211	4.63129028833279	-4.09074372694522	0.000214638461537329	0.0258433162514722	0.608311953412835	"DOWN"
"Ndn"	0.217461264609704	4.42032984104346	4.08906824869205	0.000215716545485596	0.0258433162514722	0.600870983707978	"UP"
"Ncapd2"	0.252217658964601	3.78894000494954	4.08356761705763	0.000219293187646376	0.0259862427360956	0.546480483844141	"UP"
"9330151L19Rik"	-0.202615473252143	3.72525738298668	-4.03691426234609	0.000252045990973515	0.029288506639097	0.421255279361502	"DOWN"
"Ubxn8"	0.130961570517311	4.53326158695673	4.03626555842209	0.000252533445613201	0.029288506639097	0.463036695947148	"UP"
"Rasgef1b"	-0.344118718218943	5.1944258545415	-4.02825734863047	0.000258627226074338	0.0295371904725067	0.431951345436007	"DOWN"
"S100a6"	0.235656118210043	7.34462170806546	4.02317886955555	0.000262565629655332	0.0295371904725067	0.398294468772054	"UP"
"Ddit4"	-0.53639518112474	4.85809343515749	-4.02146986152062	0.000263904070945488	0.0295371904725067	0.422025793719151	"DOWN"
"Aqp5"	0.190000187506277	8.15730883918851	4.0194240682746	0.000265515012502812	0.0295371904725067	0.397163227007151	"UP"
"Rbm5"	-0.128008975355435	7.50506475102251	-4.00885853360207	0.000273988407010849	0.0301719354871947	0.360923564403017	"DOWN"
"Fbln1"	0.221122080336146	6.65717209967272	4.00323277377995	0.000278607023161609	0.0303737376650786	0.340478412151361	"UP"
"Ddx26b"	-0.166098913874023	6.67230595293708	-3.99559264619026	0.000285000936428033	0.0304729196349506	0.319710015400867	"DOWN"
"Col6a2"	0.16385113068497	7.83047802562728	3.99546718254538	0.000285107118213627	0.0304729196349506	0.328124413999358	"UP"
"Ralb"	0.154848409838192	6.29351005294605	3.98335661528659	0.000295539768553312	0.0312813063763904	0.286231199321538	"UP"
"Gipc1"	0.125820772555645	5.61757121233625	3.9779714573029	0.000300297277489926	0.031457380129319	0.283210812482888	"UP"
"Nox4"	-0.196963161062537	6.42764030402968	-3.97444861663516	0.000303449757880951	0.031457380129319	0.261818650197188	"DOWN"
"Ogn"	-0.227578830544587	8.56350001549968	-3.96962705133899	0.000307816667794075	0.031457380129319	0.267856236985522	"DOWN"
"Mroh1"	-0.105479203124276	6.26113044606525	-3.96861047908396	0.000308745154452132	0.031457380129319	0.246215647921668	"DOWN"
"Syngap1"	-0.244932943423937	4.99010167408763	-3.96349839060619	0.000313455735947485	0.0316416151231433	0.263681377466711	"DOWN"
"Tspyl2"	-0.146425345891834	5.17031433653425	-3.94238926408351	0.000333658061093193	0.0333719282755779	0.201635404752571	"DOWN"
"Ip6k2"	-0.191134214805295	6.0286600571777	-3.9253359485897	0.00035089805828477	0.0341158229390662	0.131723286199331	"DOWN"
"Zscan26"	-0.135141314217541	6.90859149920065	-3.92391818847719	0.000352369697073432	0.0341158229390662	0.125846570442958	"DOWN"
"Cpxm1"	0.310425594617611	4.65609951282465	3.92366223856865	0.000352636012116819	0.0341158229390662	0.165464875805083	"UP"
"Ccdc108"	-0.289661575123339	6.71788682393478	-3.92272496347316	0.000353612914338148	0.0341158229390662	0.122125362497685	"DOWN"
"Traf3ip1"	-0.178011770682605	6.09210603064204	-3.91566275559138	0.000361058736309884	0.0344936717973583	0.104595369741197	"DOWN"
"Acsl3"	-0.153599798682715	5.12652475164731	-3.91304490944412	0.000363857297440488	0.0344936717973583	0.1247700954103	"DOWN"
"Egr1"	0.663409369366639	4.90916040418041	3.90797574705384	0.000369336426880409	0.0345575814376137	0.119632441141738	"UP"
"Blvra"	0.170332826007384	4.20620638627831	3.9034492023058	0.000374296727215476	0.0345575814376137	0.110639632403096	"UP"
"Gm15883"	-0.382058702757289	4.80076576451599	-3.90183627543659	0.000376079800181858	0.0345575814376137	0.105285237275456	"DOWN"
"Spi1"	0.272477572962956	4.36934301607832	3.90081704003212	0.000377210804538252	0.0345575814376137	0.106690805605353	"UP"
"Spp1"	-0.647643816768197	6.40540136775312	-3.89726919447676	0.000381173524984206	0.0346296147448151	0.0541688644502125	"DOWN"
