""	"LU1"	"LU2"	"LU3"	"LU7"	"LU8"	"LU9"	"LU13"	"LU14"	"LU15"	"LU19"	"LU20"	"LU21"	"LU25"	"LU26"	"LU27"	"LU31"	"LU32"	"LU33"
"Scgb1a1"	24810.47913	33821.12224	31691.7276	26616.76478	32909.11085	33229.45711	33878.84758	30774.45257	27195.97736	30562.15705	27382.59064	32241.68104	28588.51154	34103.21101	27278.92655	33799.89338	24986.81304	31329.8414
"Sftpc"	19807.37752	17477.59641	19122.30927	18243.2227	17989.74184	15905.89449	22039.58865	17822.33481	20083.41852	20465.71985	20137.28931	19949.50599	17152.58805	20071.32237	16798.8012	19827.89437	17271.95507	21996.54074
"Cbr2"	2975.05614	3536.675534	3672.34081	4765.952571	4850.076722	5282.401004	6607.647877	5830.160244	5987.210825	6203.205824	5844.624494	6409.583835	4560.931751	5567.539888	4102.559825	4056.023838	3176.961094	3684.311829
"Scd1"	3222.486438	2432.978839	3112.564373	1889.838906	1592.541652	1228.679337	1187.638444	1177.799042	1148.544293	1402.540718	1604.369881	1966.644175	3260.457905	3247.311817	2798.746344	3194.744542	2717.575849	2854.37557
"Rn18s-rs5"	668.2710908	1194.710892	620.7830617	850.3240804	847.3204862	600.3795892	1947.305497	2330.432152	875.5752963	1054.639248	1761.638834	512.7317494	1557.228977	3297.447622	952.7681589	696.9701805	924.5212594	1045.74116
"mt-Co1"	9683.677251	8521.349607	7828.409242	7758.716438	9218.50173	7862.846891	9453.434787	7951.358347	8318.733685	7991.248341	8874.352755	8824.837499	10167.21239	8704.836892	7711.976084	9228.092977	8035.412816	8414.511928
"Lyz2"	6059.444991	5498.059012	6189.389397	6832.901651	5645.214793	4796.505112	6734.137215	5771.425202	6638.472295	6883.312681	7042.654386	6500.380947	5856.287971	7019.764285	5952.870303	6617.097178	5920.769696	6346.348709
"Hbb-bs"	381.7483706	1970.959443	710.5904041	3370.035237	984.3036382	815.2894181	222.0750066	1008.421347	1147.72474	1152.127936	839.4512368	207.1884129	1857.299286	1036.335856	702.8358651	1017.929536	425.0400272	1878.496212
"Hba-a2"	334.2942294	1663.871816	673.9028681	3555.874042	814.1260447	737.3521421	204.6257415	961.594037	968.2791377	963.0807719	672.8305073	204.3908277	1692.041342	905.9706053	649.3579206	889.9753701	376.8402544	1568.156178
"Hspa8"	1230.545652	1443.135419	1784.336225	775.3348002	719.9214957	865.749125	1081.691281	597.8132121	862.3265726	2432.206907	2723.174522	2085.941994	2756.375213	2250.828773	2117.160945	1401.536576	1197.255086	1280.718239
"Cyp2f2"	2354.525476	3871.448732	3670.58389	3834.493245	4431.803047	4134.588741	3839.423852	3495.80447	3909.682532	3890.988683	3529.677152	4236.668509	3850.802659	4473.742708	3626.806281	4232.841884	3583.928968	3833.223202
"Ahnak"	2785.718354	1697.14374	1926.891492	1447.025384	1916.370312	2295.964431	1786.64371	2401.666588	2593.117373	2461.371184	2661.66746	2582.746695	2219.853902	2260.443018	3055.92253	2051.094278	2741.025539	2258.246045
"Fmo2"	959.4414519	1000.047979	935.4856832	850.9594321	887.9476904	972.5294323	1403.592611	1099.918246	1255.419399	2187.210751	1720.982622	1894.090785	1710.292694	1844.452538	1670.169981	1349.847009	1453.873662	1295.610029
"Sftpa1"	3578.607075	3120.851619	3522.613927	3350.055614	3085.713729	2676.739237	3653.100592	3246.626862	3186.974117	3702.966573	3703.489706	3346.769054	3463.694202	3800.77138	3474.612462	3902.477634	3616.875948	3741.349075
"Gm26809"	1943.728669	1087.615468	1115.876056	1282.919292	926.1295919	1368.428957	1583.383256	1287.159053	1453.248186	2154.954383	1407.376287	1204.442722	1868.434541	1680.334877	1805.725083	1504.125843	1636.532369	1621.430288
"Hsp90ab1"	1211.42178	1486.806298	1708.004016	1106.456528	978.8235551	994.6965822	1333.359054	965.7168992	851.0525944	1786.475661	2051.15281	1570.072245	2232.234745	1771.9926	1826.858523	1569.271458	1739.874184	1723.127479
"Cxcl15"	1660.72208	1511.694856	1586.222634	1700.693226	1363.372871	1153.399545	1007.293349	853.4137161	859.205321	441.934747	533.6809783	466.206423	675.1909032	661.8077265	727.3082832	1172.440931	1083.057196	1190.200122
"Aldh1a1"	1260.960625	1723.218503	1623.941808	2029.874623	1581.985048	1488.438195	1821.987919	1520.341797	1742.456253	2382.325693	2067.598318	2302.422475	2332.356756	2454.032244	1994.772172	2015.182763	1973.325559	1737.983085
"Inmt"	1678.99473	1603.203358	1651.475102	1952.202394	1794.030587	1972.935479	2427.66918	2108.108257	1832.523999	1762.49097	1409.110324	1689.295174	1415.813462	1594.050471	1342.486268	1614.198056	1298.56267	1698.014601
"Prdx6"	1019.811705	1176.87114	1296.774968	1074.824769	1032.842869	1066.542246	1498.680335	1233.590307	1183.350809	1901.433284	1695.251787	2076.81642	1727.263405	1826.251427	1666.322175	1514.79115	1271.734956	1434.162102
"mt-Cytb"	3903.543857	3545.346659	2963.1052	2801.880967	3758.029473	3145.339059	3890.808953	3030.771889	3265.903753	3198.127569	3654.708833	3436.786308	3824.500156	3474.305876	3002.333177	3769.604727	3015.456663	3381.240033
